City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,palmer,42.1584,-72.3287,66.52,71,100,3.44,US,1723163381
1,mahibadhoo,3.7833,72.9667,81.55,75,99,4.52,MV,1723163382
2,kendari,-3.945,122.4989,77.47,77,41,1.88,ID,1723163357
3,dong ha,16.8163,107.1003,84.22,64,53,7.87,VN,1723163384
4,bahia honda,22.9036,-83.1592,82.22,79,36,1.48,CU,1723163386
5,guarapari,-20.6667,-40.4975,72.39,73,14,11.56,BR,1723163387
6,port elizabeth,-33.918,25.5701,54.32,85,0,6.91,ZA,1723163388
7,qaqortoq,60.7167,-46.0333,43.14,95,100,2.95,GL,1723163389
8,edinburgh of the seven seas,-37.0676,-12.3116,58.46,92,100,38.9,SH,1723163390
9,thompson,55.7435,-97.8558,66.36,45,75,8.05,CA,1723163391
10,waitangi,-43.9535,-176.5597,54.82,80,96,10.0,NZ,1723163392
11,port-aux-francais,-49.35,70.2167,36.09,69,92,16.82,TF,1723163393
12,twon-brass,4.3151,6.2418,77.22,84,66,9.78,NG,1723163394
13,tiszavasvari,47.9667,21.35,68.68,68,85,3.09,HU,1723163395
14,adamstown,-25.066,-130.1015,71.62,80,49,24.96,PN,1723163397
15,klyuchi,52.2667,79.1667,65.01,85,87,3.78,RU,1723163398
16,tukrah,32.5341,20.5791,80.11,74,0,9.15,LY,1723163399
17,merizo village,13.2658,144.6691,86.38,84,100,6.46,GU,1723163400
18,port macquarie,-31.4333,152.9167,65.07,65,100,4.0,AU,1723163401
19,rio grande,-32.035,-52.0986,48.85,75,43,15.08,BR,1723163403
20,north bondi,-33.8824,151.2769,60.82,74,0,8.05,AU,1723163405
21,saipan,15.1355,145.701,88.5,70,40,5.75,MP,1723163406
22,wailua homesteads,22.0669,-159.378,83.19,69,40,12.66,US,1723163407
23,amursk,50.2261,136.8994,68.94,64,30,14.9,RU,1723163408
24,blackmans bay,-43.0167,147.3167,54.73,62,100,1.99,AU,1723163409
25,port mathurin,-19.6833,63.4167,72.48,73,54,21.34,MU,1723163410
26,praia da vitoria,38.7333,-27.0667,73.65,88,0,2.57,PT,1723163411
27,kone,-21.0595,164.8658,81.39,44,10,3.42,NC,1723163412
28,ancud,-41.8697,-73.8203,45.84,84,100,5.46,CL,1723163414
29,margaret river,-33.95,115.0667,62.04,77,45,11.9,AU,1723163415
