City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kyzylorda,44.8528,65.5092,84.22,34,0,4.47,KZ,1723052629
1,taroa,8.7058,171.2275,81.66,75,87,9.44,MH,1723052631
2,la passe,45.5549,-0.8967,74.41,62,99,13.78,FR,1723052632
3,petropavlovsk-kamchatsky,53.0452,158.6483,55.99,100,75,6.71,RU,1723052633
4,saudarkrokur,65.7461,-19.6394,47.35,85,100,5.06,IS,1723052634
5,anadyr,64.75,177.4833,45.1,75,75,4.47,RU,1723052636
6,bethel,41.3712,-73.414,66.02,89,100,8.05,US,1723052637
7,port elizabeth,-33.918,25.5701,64.31,45,0,4.61,ZA,1723052638
8,kuala terengganu,5.3302,103.1408,78.75,94,20,2.3,MY,1723052639
9,sault ste. marie,46.5168,-84.3333,75.49,46,20,3.44,CA,1723052493
10,adamstown,-25.066,-130.1015,65.55,66,15,8.68,PN,1723052642
11,west island,-12.1568,96.8225,80.58,78,40,13.8,CC,1723052643
12,moreira sales,-24.0622,-53.0069,90.03,20,24,15.64,BR,1723052645
13,puerto natales,-51.7236,-72.4875,34.25,75,0,5.75,CL,1723052646
14,tiksi,71.6872,128.8694,41.32,99,71,1.3,RU,1723052647
15,luderitz,-26.6481,15.1594,54.27,85,29,1.21,NA,1723052649
16,tobelo,1.7284,128.0095,78.84,83,90,6.49,ID,1723052650
17,huarmey,-10.0681,-78.1522,68.13,72,24,11.68,PE,1723052651
18,rongelap,11.1635,166.8941,82.69,75,96,11.12,MH,1723052654
19,ilulissat,69.2167,-51.1,41.02,93,100,4.61,GL,1723052655
20,iqaluit,63.7506,-68.5145,47.93,70,20,5.75,CA,1723052656
21,college,64.8569,-147.8028,68.9,70,75,4.61,US,1723052657
22,afaahiti,-17.75,-149.2833,76.87,85,19,16.55,PF,1723052658
23,sterling,39.0062,-77.4286,87.22,71,75,6.91,US,1723052660
24,nar'yan-mar,67.6713,53.087,45.66,86,5,8.79,RU,1723052661
25,worgl,47.4833,12.0667,70.12,94,98,0.29,AT,1723052662
26,paradip garh,20.3167,86.6167,80.83,84,96,6.87,IN,1723052663
27,blackmans bay,-43.0167,147.3167,48.33,79,99,8.23,AU,1723052664
28,osby,56.3816,13.9936,70.02,72,100,7.61,SE,1723052665
29,enewetak,11.3474,162.3373,83.53,74,87,11.18,MH,1723052667
30,east london,-33.0153,27.9116,63.54,82,0,6.91,ZA,1723052668
31,aasiaat,68.7098,-52.8699,39.2,92,90,7.72,GL,1723052669
32,bilibino,68.0546,166.4372,39.94,72,0,4.38,RU,1723052670
33,mount gambier,-37.8333,140.7667,52.29,58,100,12.12,AU,1723052671
34,kodiak,57.79,-152.4072,54.91,94,0,6.91,US,1723052672
35,beau vallon,-20.4189,57.6953,71.83,73,40,4.61,MU,1723052674
36,grytviken,-54.2811,-36.5092,25.14,71,66,12.5,GS,1723052675
37,sao joao da barra,-21.6403,-41.0511,82.49,75,0,21.03,BR,1723052676
38,punta arenas,-53.15,-70.9167,35.71,87,75,10.36,CL,1723052477
39,lazaro cardenas,17.9583,-102.2,87.91,59,100,9.01,MX,1723052678
40,invercargill,-46.4,168.35,44.02,92,95,1.99,NZ,1723052679
41,port-aux-francais,-49.35,70.2167,34.07,99,100,25.97,TF,1723052681
42,namibe,-15.1961,12.1522,62.69,90,24,12.33,AO,1723052682
43,boundiali,9.5217,-6.4869,75.06,93,100,0.83,CI,1723052683
44,laguna de perlas,12.3429,-83.6712,82.49,89,100,9.1,NI,1723052684
45,hawaiian paradise park,19.5933,-154.9731,76.89,90,100,0.0,US,1723052685
46,vorgashor,67.5833,63.95,47.37,70,4,5.7,RU,1723052686
47,hamilton,39.1834,-84.5333,85.77,65,0,12.66,US,1723052574
48,pancas,-19.225,-40.8514,82.87,35,14,4.94,BR,1723052690
49,edinburgh of the seven seas,-37.0676,-12.3116,46.74,65,97,32.75,SH,1723052691
50,qaqortoq,60.7167,-46.0333,46.81,94,100,5.95,GL,1723052692
51,ribeira grande,38.5167,-28.7,79.2,69,20,10.0,PT,1723052693
52,ust-nera,64.5667,143.2,51.3,94,100,2.84,RU,1723052694
53,san antonio de pale,-1.4014,5.6325,73.22,83,100,10.16,GQ,1723052695
54,wuxue,29.8506,115.5525,82.49,66,15,2.82,CN,1723052697
55,olonkinbyen,70.9221,-8.7187,42.57,100,100,10.94,SJ,1723052698
56,remire-montjoly,4.9167,-52.2667,89.64,70,21,13.8,GF,1723052537
57,isafjordur,66.0755,-23.124,46.44,87,100,10.36,IS,1723052700
58,bandundu,-3.3167,17.3667,87.28,30,63,1.97,CD,1723052701
59,kingston,17.997,-76.7936,93.16,66,20,21.85,JM,1723052703
60,vol'sk,52.0333,47.3833,71.24,60,93,5.3,RU,1723052704
61,magadan,59.5667,150.8,50.05,92,81,4.99,RU,1723052706
62,yellowknife,62.456,-114.3525,69.42,54,75,10.36,CA,1723052707
63,ta`u,-14.2336,-169.5144,76.32,79,100,21.63,AS,1723052708
64,nhamunda,-2.1861,-56.7131,104.58,21,3,1.95,BR,1723052710
65,port mathurin,-19.6833,63.4167,72.46,73,12,10.33,MU,1723052711
66,curaca,-8.9903,-39.9094,90.28,24,45,11.92,BR,1723052712
67,dudinka,69.4058,86.1778,50.09,61,1,17.09,RU,1723052713
68,albany,42.6001,-73.9662,75.16,75,89,1.01,US,1723052585
69,takoradi,4.8845,-1.7554,75.85,80,100,10.58,GH,1723052715
70,flying fish cove,-10.4217,105.6791,76.68,88,75,12.66,CX,1723052718
71,georgetown,5.4112,100.3354,82.33,78,20,4.61,MY,1723052441
72,kapuskasing,49.4169,-82.4331,73.49,40,75,5.75,CA,1723052720
73,whitehorse,60.7161,-135.0538,66.97,43,0,17.27,CA,1723052721
74,nyrob,60.733,56.7202,52.05,73,99,4.63,RU,1723052722
75,tazovsky,67.4667,78.7,49.33,72,100,13.49,RU,1723052723
76,vila franca do campo,37.7167,-25.4333,77.41,83,82,8.1,PT,1723052725
77,sretensk,52.2453,117.7093,55.35,88,9,1.39,RU,1723052726
78,daru,-9.0763,143.2092,75.85,86,88,15.14,PG,1723052727
79,pombas,17.1503,-25.0201,82.18,75,54,10.09,CV,1723052728
80,saipan,15.1355,145.701,83.1,83,75,0.0,MP,1723052729
81,thunder bay,48.4001,-89.3168,73.38,56,75,8.05,CA,1723052730
82,biharamulo,-2.6319,31.3089,68.86,45,8,3.33,TZ,1723052732
83,arraial do cabo,-22.9661,-42.0278,85.96,51,0,17.27,BR,1723052733
84,bakchar,57.0186,82.0711,60.12,98,86,5.7,RU,1723052734
85,thompson,55.7435,-97.8558,55.56,82,75,8.05,CA,1723052658
86,maintirano,-18.0667,44.0167,73.81,80,0,4.88,MG,1723052736
87,fale old settlement,-9.3852,-171.2468,81.12,75,97,19.35,TK,1723052737
88,dakhla,23.6848,-15.958,73.42,73,14,26.46,EH,1723052738
89,umba,66.6871,34.3429,53.96,56,5,1.21,RU,1723052740
90,wailua homesteads,22.0669,-159.378,77.79,85,0,12.66,US,1723052741
91,olinda,-8.0089,-34.8553,82.13,65,40,16.11,BR,1723052742
92,stanley,54.868,-1.6985,62.62,71,20,12.66,GB,1723052743
93,mitchell,43.7094,-98.0298,75.74,73,0,10.36,US,1723052541
94,magistral'nyy,56.1725,107.4458,57.51,94,64,2.86,RU,1723052745
95,bredasdorp,-34.5322,20.0403,51.03,94,3,5.46,ZA,1723052746
96,worthington,40.0931,-83.018,82.17,72,100,8.05,US,1723052726
97,pahrump,36.2083,-115.9839,99.45,22,66,7.0,US,1723052750
98,klyuchi,52.2667,79.1667,65.26,87,100,8.48,RU,1723052751
99,purpe,64.4803,76.6897,54.84,57,100,10.29,RU,1723052752
100,waitangi,-43.9535,-176.5597,47.82,71,33,15.59,NZ,1723052753
101,nadym,65.5333,72.5167,42.96,90,66,10.04,RU,1723052755
102,fortuna,40.5982,-124.1573,63.52,81,0,0.0,US,1723052756
103,new norfolk,-42.7826,147.0587,49.5,95,97,2.98,AU,1723052757
104,flin flon,54.7682,-101.865,53.44,82,100,12.66,CA,1723052758
105,jurilovca,44.7667,28.8667,75.29,71,0,6.38,RO,1723052759
106,praia da vitoria,38.7333,-27.0667,79.05,61,20,6.22,PT,1723052761
107,lethem,3.3803,-59.7968,85.89,66,24,2.8,GY,1723052762
108,saldanha,-33.0117,17.9442,55.45,89,0,6.22,ZA,1723052763
